Clinical Annotation ID	Date (YYYY-MM-DD)	Type	Comment
981755803	2018-03-28	Update	Added PMID 25145599 to evidence
981755803	2018-11-28	Update	Added PMID 23628510 to evidence
981755803	2020-11-04	Update	Updated text to match new format. Added guideline and drug label as reason for overide from 1B to 1A.
981755803	2021-02-02	Update	Attached CPIC guideline and FDA label for ivacaftor. Did not attach combination drugs yet as need to verify which have variants in the label.
981755803	2021-02-02	Update	Small edit to text to match template.
981755803	2021-03-09	Update	Added rsID to phenotype descriptions
981755803	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
1449311190	2018-05-14	Create	
1449311190	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
1449311190	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981204774	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
981204774	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1449191690	2018-03-23	Create	Variant is approved by the FDA for treatment and is in the CPIC CFTR/ivacaftor guideline so LOE=1A
1449191690	2020-09-15	Note	Cross-checked
1449191690	2020-09-16	Update	Added reason for override. Fixed typo in text.
1449191690	2021-02-03	Update	Attached CPIC guideline and FDA label for ivacaftor.
1449191690	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
1449191746	2018-03-23	Create	Variant is approved by the FDA for treatment and is in the CPIC CFTR/ivacaftor guideline so LOE=1A
1449191746	2020-09-16	Update	Added reason for override.
1449191746	2021-02-03	Update	Attached CPIC guideline and FDA label for ivacaftor.
1449191746	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
981419532	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
981419532	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1449566379	2018-06-25	Create	
1449566379	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
1449566379	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981419266	2014-10-30	Create	Created
981419266	2017-04-27	Update	Added PMID 28391407 to evidence.
981419266	2018-06-22	Update	Added PMID 28476759 to evidence
981419266	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
981419266	2020-09-30	Update	Added reason for override.
981419266	2020-09-30	Update	Added phenotype tags for SCAR and DRESS
981419266	2020-09-30	Update	Removed two annotations with other haplotypes.
981419266	2020-10-01	Update	Updated score as VA 1184755407 has score zeroed because no individuals had the allele.
981419266	2021-02-02	Update	Added CPIC guideline, edited phenotype description and zeroed out a VA where the HLA-B allele was not found in the study population.
981419266	2021-02-03	Update	Added FDA label
981419266	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
981419266	2022-02-28	Update	Added DPWG guideline
981419266	2022-06-22	Update	Added PMID 34175889 to evidence
1451259580	2020-09-03	Create	Created
1451259580	2021-01-19	Update	Attached CPIC guideline and removed override.
1451259580	2021-02-02	Update	Updated text to include CPIC function assignments and match template. Added *2.
1451259580	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
1451259580	2021-04-23	Update	Added DPWG guideline as evidence
1451265560	2020-09-17	Create	Created
1451265560	2021-02-03	Update	Added CPIC guideline and *5 allele to CA. Edited phenotype descriptions.
1451265560	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
1451265560	2021-04-23	Update	Added DPWG guideline as evidence
1451288200	2020-11-03	Create	Created
1451288200	2021-01-25	Update	Rewrote phenotype descriptions and added CPIC guideline
1451288200	2021-02-02	Update	Minor edits to phenotype descriptions
1451288200	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
1451288200	2021-04-23	Update	Added DPWG guideline as evidence
1451282240	2020-10-22	Create	Created
1451282240	2021-01-19	Update	Attached CPIC guideline and removed override. Added conflicting evidence statement.
1451282240	2021-01-27	Update	Removed conflicting evidence statement because it was from variant annotation that did not specify alleles.
1451282240	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
1451282240	2021-04-23	Update	Added DPWG guideline as evidence
1451282240	2021-04-29	Update	Edited phenotype descriptions
1451285240	2020-10-28	Create	Combined VAs for tamoxifen and VAs for "antineoplastic agents and tamoxifen"
1451285240	2020-11-05	Update	Level 1A because of CPIC guideline.
1451285240	2021-03-24	Update	CA score added as part of scoring system release. LOE assigned following curator review.
1451285240	2021-04-29	Update	Added DPWG guideline as evidence and added sentence regarding no recommendation for UMs.
1451226160	2020-07-13	Create	Created
1451226160	2021-01-29	Update	Minor edits to phenotype descriptions
1451226160	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451226166	2020-07-13	Create	Created
1451226166	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451226200	2020-07-13	Create	Created
1451226200	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451226206	2020-07-13	Create	Created
1451226206	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451226212	2020-07-13	Create	Created
1451226212	2021-01-29	Update	Minor edits to phenotype descriptions
1451226212	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451226220	2020-07-13	Create	Created
1451226220	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451340300	2021-02-25	Create	Created
1451340300	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451340320	2021-02-25	Create	Created
1451340320	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450930839	2019-11-15	Create	Created
1450930839	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451356840	2021-03-16	Create	Created
1451356840	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451225360	2020-07-10	Create	Created
1451225360	2021-01-29	Update	Minor edits to phenotype descriptions
1451225360	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450930464	2019-11-15	Create	Created
1450930464	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451290960	2020-11-10	Create	Created
1451290960	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451356520	2021-03-16	Create	Created
1451356520	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
655386913	2020-10-28	Update	changed to star allele description and ADR for bleeding
655386913	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451356180	2021-03-16	Create	Created
